X,Y,FID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Weekdays_O,Weekdays_1,Saturdays_,Saturdays1,Sundays_On,Sundays_Of
-8366735.07939557,4862870.02132731,1,Bus,APC,3,Eastbound,25385,Cecil B Moore Av & 15th St,39.978855,-75.15966,32,60,23,39,19,33
-8366307.8351899,4862787.94281815,2,Bus,APC,3,Eastbound,25386,Cecil B Moore Av & 13th St,39.97829,-75.155822,20,16,11,14,7,6
-8366133.7315063,4862760.77716016,3,Bus,APC,3,Eastbound,25387,Cecil B Moore Av & 12th St,39.978103,-75.154258,94,151,57,87,45,76
-8365959.6278227,4862732.01360333,4,Bus,APC,3,Eastbound,25388,Cecil B Moore Av & 11th St,39.977905,-75.152694,63,47,39,43,31,29
-8365749.90190205,4862699.90892367,5,Bus,APC,3,Eastbound,25389,Cecil B Moore Av & 10th St - FS,39.977684,-75.15081,14,18,11,8,8,6
-8365606.29975892,4862678.26374575,6,Bus,APC,3,Eastbound,25390,Cecil B Moore Av & 9th St,39.977535,-75.14952,14,17,6,4,2,6
-8365498.43117234,4862660.54088354,7,Bus,APC,3,Eastbound,25391,Cecil B Moore Av & 8th St,39.977413,-75.148551,31,35,16,18,14,17
-8365088.21884877,4863042.89686747,8,Bus,APC,3,Eastbound,25393,Berks St & 6th St,39.980045,-75.144866,14,23,9,14,11,9
-8364939.60732856,4863019.07182424,9,Bus,APC,3,Eastbound,25394,Berks St & Germantown Av,39.979881,-75.143531,33,33,16,37,15,22
-8364671.21603626,4862977.95923169,10,Bus,APC,3,Eastbound,25395,Berks St & 4th St,39.979598,-75.14112,55,32,38,15,28,15
-8364560.00786496,4862956.45872106,11,Bus,APC,3,Eastbound,25396,Berks St & 3rd St,39.97945,-75.140121,3,11,8,6,3,5
-8364418.96607012,4862929.29260193,12,Bus,APC,3,Eastbound,25397,Berks St & American St,39.979263,-75.138854,10,30,8,18,5,20
-8364274.58469056,4862905.46783136,13,Bus,APC,3,Eastbound,25398,Berks St & 2nd St,39.979099,-75.137557,11,25,11,13,7,8
-8364057.17772504,4862871.03823345,14,Bus,APC,3,Eastbound,25399,Berks St & Mascher St,39.978862,-75.135604,4,17,1,11,1,11
-8363842.33110782,4862831.66951467,15,Bus,APC,3,Eastbound,25401,Berks St & Front St,39.978591,-75.133674,31,129,19,96,17,59
-8363780.32615144,4863032.29181067,16,Bus,APC,3,Eastbound,25402,Front St & Norris St,39.979972,-75.133117,7,24,3,15,6,10
-8363744.70391439,4863251.22315702,17,Bus,APC,3,Eastbound,25403,Front St & Coral St,39.981479,-75.132797,17,21,13,13,13,13
-8363709.86091377,4863465.21977655,18,Bus,APC,3,Eastbound,25404,Front St & Susquehanna Av,39.982952,-75.132484,9,8,3,8,2,3
-8363394.71543533,4864117.98881416,19,Bus,APC,3,Eastbound,25405,Kensington Av & Cumberland St,39.987445,-75.129653,37,25,24,13,15,19
-8362928.50940789,4864451.72685034,20,Bus,APC,3,Eastbound,25406,Kensington Av & Lehigh Av,39.989742,-75.125465,22,14,14,18,17,8
-8362142.03720544,4865019.26710335,21,Bus,APC,3,Eastbound,25407,Kensington Av & Orleans St,39.993648,-75.1184,38,43,24,28,14,25
-8360043.442165,4866529.23333601,22,Bus,APC,3,Eastbound,25408,Kensington Av & Castor Av,40.004039,-75.099548,12,10,3,8,2,5
-8359447.21497231,4866956.64592968,23,Bus,APC,3,Eastbound,25409,Kensington Av & Hunting Park Av,40.00698,-75.094192,26,11,15,9,10,6
-8359159.34276912,4867164.03704971,24,Bus,APC,3,Eastbound,25410,Kensington Av & Adams Av,40.008407,-75.091606,12,12,1,12,4,0
-8359009.84069298,4867271.58565852,25,Bus,APC,3,Eastbound,25411,Kensington Av & Womrath St,40.009147,-75.090263,7,14,6,6,2,9
-8364877.60237219,4863008.46679291,26,Bus,APC,3,Eastbound,26261,Berks St & 5th St,39.979808,-75.142974,27,5,17,7,14,4
-8360305.8222048,4866343.50861076,27,Bus,APC,3,Eastbound,26262,Kensington Av & Sedgley Av,40.002761,-75.101905,16,22,8,9,5,13
-8369912.2489823,4863404.78306078,28,Bus,APC,3,Eastbound,30884,Cecil B Moore Av & 33rd St - FS,39.982536,-75.188201,97,29,99,17,67,14
-8370590.07336174,4863406.38114228,29,Bus,APC,3,Eastbound,31656,Resevoir Dr & SmithDay Nursery Dr,39.982547,-75.19429,0,0,6,0,3,0
-8361550.93070932,4865473.78766921,30,Bus,APC,3,Westbound,51,Kensington Av & Allegheny Av,39.996776,-75.11309,122,84,82,60,63,43
